Model,TP,FN,FP,TN
M7-A1-B4-C3,613,387,437,563
M5-A3-B4-C10,935,65,933,67
M3-A7-B3-C11,245,755,183,817
M2-A8-B2-C1,886,114,689,311
M11-A10-B2-C4,856,144,303,697
M2-A8-B4-C1,890,110,108,892
M9-A3-B5-C7,576,424,55,945
M4-A6-B6-C4,868,132,841,159
M13-A8-B3-C8,999,1,995,5
M1-A6-B4-C3,552,448,551,449
M1-A9-B7-C8,423,577,173,827
M2-A7-B5-C11,727,273,604,396
M11-A11-B8-C3,885,115,552,448
M2-A2-B11-C8,691,309,613,387
M3-A8-B7-C1,378,622,310,690
M8-A11-B7-C3,820,180,407,593
M8-A10-B8-C6,451,549,241,759
M6-A5-B7-C2,991,9,980,20
M13-A3-B9-C7,776,224,26,974
M10-A5-B7-C3,998,2,845,155
M2-A9-B4-C8,511,489,229,771
M1-A1-B6-C11,374,626,35,965
M3-A5-B5-C7,980,20,490,510
M3-A7-B11-C7,945,55,940,60
M6-A2-B7-C11,975,25,901,99
M6-A9-B10-C10,920,80,598,402
M6-A1-B1-C9,753,247,676,324
M7-A8-B11-C8,965,35,962,38
M6-A3-B6-C8,717,283,668,332
M9-A11-B4-C11,918,82,180,820
M1-A8-B9-C7,505,495,339,661
M4-A7-B8-C4,553,447,295,705
M11-A7-B5-C5,751,249,269,731
M5-A3-B8-C8,735,265,177,823
M10-A4-B2-C7,741,259,583,417
M2-A8-B2-C6,686,314,445,555
M11-A7-B5-C3,933,67,909,91
M6-A5-B7-C12,232,768,114,886
M8-A8-B11-C3,803,197,643,357
M9-A3-B5-C9,936,64,934,66
M2-A11-B7-C5,580,420,284,716
M4-A10-B9-C3,708,292,619,381
M8-A4-B9-C3,289,711,220,780
M5-A3-B7-C12,925,75,669,331
M11-A1-B3-C4,996,4,721,279
M4-A6-B5-C6,904,96,257,743
M13-A6-B1-C5,877,123,381,619
M13-A7-B7-C12,102,898,78,922
M1-A8-B10-C2,999,1,999,1
M7-A11-B3-C1,769,231,183,817
M11-A10-B10-C12,984,16,912,88
M12-A10-B11-C5,223,777,88,912
M11-A2-B8-C7,855,145,260,740
M5-A2-B11-C2,684,316,239,761
M10-A3-B5-C10,271,729,182,818
M4-A5-B5-C4,854,146,45,955
M2-A9-B8-C9,991,9,918,82
M8-A3-B9-C10,995,5,919,81
M11-A9-B9-C8,860,140,69,931
M1-A4-B4-C1,524,476,287,713
M2-A2-B6-C10,785,215,721,279
M11-A1-B10-C11,622,378,429,571
M6-A6-B6-C5,893,107,547,453
M4-A2-B9-C1,999,1,991,9
M2-A4-B10-C11,775,225,648,352
M2-A1-B1-C5,468,532,407,593
M5-A10-B9-C10,881,119,781,219
M6-A11-B9-C2,997,3,991,9
M12-A1-B6-C9,936,64,934,66
M6-A5-B5-C1,644,356,9,991
M4-A6-B9-C9,797,203,89,911
M9-A5-B2-C12,866,134,540,460
M8-A6-B9-C5,321,679,125,875
M10-A6-B10-C5,477,523,347,653
M13-A6-B10-C8,406,594,313,687
M7-A2-B7-C12,842,158,488,512
M13-A1-B7-C9,619,381,537,463
M13-A9-B1-C2,892,108,95,905
M9-A10-B11-C7,757,243,562,438
M1-A7-B11-C4,832,168,219,781
M13-A10-B3-C3,828,172,597,403
M2-A8-B10-C1,420,580,75,925
M6-A6-B9-C12,919,81,810,190
M1-A8-B8-C5,959,41,940,60
M11-A3-B1-C7,910,90,872,128
M6-A11-B11-C6,937,63,913,87
M9-A10-B2-C4,779,221,245,755
M4-A2-B11-C5,946,54,698,302
M4-A3-B7-C7,812,188,440,560
M6-A8-B11-C7,642,358,146,854
M6-A3-B5-C2,963,37,917,83
M8-A8-B5-C7,616,384,330,670
M5-A6-B1-C1,466,534,446,554
M5-A3-B7-C1,212,788,61,939
M8-A11-B5-C5,865,135,749,251
M2-A4-B5-C11,865,135,844,156
M7-A11-B2-C8,644,356,634,366
M13-A2-B9-C3,676,324,13,987
M7-A9-B2-C7,979,21,892,108
M3-A11-B6-C12,854,146,403,597
M12-A7-B3-C4,578,422,185,815
M12-A9-B6-C11,961,39,228,772
M6-A10-B9-C11,530,470,296,704
M3-A3-B8-C9,677,323,622,378
M8-A4-B8-C3,817,183,735,265
M4-A7-B2-C10,904,96,881,119
M9-A8-B10-C11,779,221,230,770
M2-A9-B5-C12,289,711,129,871
M12-A4-B1-C11,765,235,543,457
M8-A4-B9-C1,600,400,524,476
M7-A8-B6-C9,968,32,928,72
M13-A6-B2-C8,758,242,109,891
M3-A7-B1-C12,995,5,940,60
M6-A10-B2-C10,849,151,494,506
M9-A6-B6-C8,867,133,84,916
M8-A3-B6-C4,868,132,801,199
M6-A7-B3-C7,851,149,650,350
M8-A9-B8-C6,897,103,480,520
M4-A4-B8-C12,943,57,893,107
M5-A5-B4-C4,578,422,415,585
M1-A4-B10-C10,892,108,628,372
M6-A3-B10-C12,373,627,191,809
M1-A9-B4-C5,971,29,48,952
M8-A3-B6-C1,521,479,405,595
M2-A1-B8-C8,942,58,887,113
M8-A7-B11-C11,955,45,933,67
M6-A7-B1-C5,647,353,554,446
M1-A10-B9-C2,993,7,393,607
M5-A7-B10-C11,706,294,198,802
M7-A1-B11-C7,782,218,781,219
M9-A5-B3-C1,826,174,88,912
M11-A2-B4-C4,973,27,827,173
M2-A11-B3-C4,670,330,90,910
M13-A9-B7-C3,404,596,80,920
M11-A5-B2-C7,248,752,32,968
M11-A3-B11-C11,759,241,481,519
M9-A6-B5-C1,773,227,57,943
M8-A10-B7-C2,339,661,69,931
M9-A8-B7-C9,931,69,898,102
M9-A8-B3-C7,939,61,208,792
M13-A9-B5-C12,726,274,583,417
M1-A5-B7-C5,815,185,647,353
M10-A9-B2-C3,927,73,698,302
M1-A11-B11-C9,997,3,987,13
M2-A9-B2-C5,124,876,104,896
M10-A3-B5-C4,201,799,35,965
M1-A8-B8-C1,929,71,866,134
M4-A1-B11-C11,947,53,69,931
M2-A11-B7-C4,733,267,178,822
M13-A3-B3-C10,733,267,28,972
M7-A9-B1-C12,887,113,885,115
M6-A1-B11-C7,451,549,252,748
M9-A5-B3-C11,783,217,338,662
M9-A7-B10-C10,978,22,829,171
M10-A4-B2-C2,627,373,284,716
M2-A2-B11-C9,871,129,631,369
M11-A8-B5-C10,692,308,148,852
M10-A7-B8-C11,705,295,13,987
M1-A11-B5-C11,997,3,253,747
M11-A10-B10-C10,519,481,469,531
M8-A8-B1-C8,911,89,124,876
M6-A11-B8-C11,871,129,397,603
M4-A9-B8-C11,347,653,241,759
M11-A5-B8-C11,155,845,143,857
M1-A10-B10-C2,990,10,389,611
M4-A1-B4-C8,440,560,338,662
M6-A8-B8-C4,955,45,173,827
M9-A6-B4-C11,985,15,949,51
M13-A3-B5-C11,184,816,83,917
M5-A2-B10-C8,808,192,436,564
M1-A1-B3-C6,980,20,103,897
M4-A7-B3-C8,997,3,960,40
M4-A10-B7-C4,540,460,224,776
M5-A5-B2-C1,738,262,347,653
M9-A1-B2-C4,994,6,975,25
M10-A9-B2-C2,924,76,919,81
M13-A4-B6-C2,232,768,80,920
M1-A5-B11-C7,558,442,286,714
M8-A8-B9-C11,495,505,25,975
M13-A1-B8-C8,922,78,310,690
M6-A11-B3-C7,848,152,214,786
M6-A7-B1-C7,690,310,649,351
M6-A9-B7-C3,132,868,35,965
M10-A6-B10-C2,818,182,631,369
M6-A4-B4-C4,581,419,426,574
M12-A7-B6-C2,980,20,874,126
M12-A5-B4-C12,766,234,631,369
M13-A9-B3-C2,567,433,268,732
M4-A9-B7-C6,779,221,177,823
M3-A11-B3-C6,982,18,911,89
M10-A8-B7-C5,911,89,507,493
M2-A3-B5-C9,579,421,479,521
M2-A2-B9-C12,884,116,816,184
M3-A6-B3-C7,971,29,270,730
M2-A8-B7-C3,209,791,165,835
M2-A10-B1-C3,735,265,698,302
M3-A10-B10-C6,835,165,276,724
M13-A8-B10-C10,428,572,398,602
M13-A6-B4-C12,866,134,628,372
M12-A4-B6-C9,301,699,116,884
M1-A9-B2-C6,982,18,181,819
M6-A6-B9-C9,904,96,537,463
M5-A8-B2-C12,174,826,64,936
M10-A7-B3-C11,831,169,639,361
M8-A2-B7-C11,694,306,275,725
M8-A1-B8-C9,684,316,588,412
M9-A5-B10-C3,986,14,760,240
M8-A8-B8-C9,376,624,262,738
M9-A4-B11-C2,224,776,41,959
M9-A6-B10-C8,914,86,267,733
M13-A7-B4-C8,502,498,303,697
M6-A11-B5-C4,978,22,921,79
M11-A11-B3-C3,566,434,344,656
M1-A4-B10-C7,951,49,910,90
M2-A7-B9-C3,588,412,486,514
M8-A9-B1-C10,585,415,292,708
M8-A3-B3-C10,956,44,833,167
M8-A2-B11-C4,804,196,352,648
M6-A8-B9-C2,945,55,911,89
M3-A1-B5-C6,914,86,869,131
M6-A5-B6-C1,964,36,955,45
M3-A7-B1-C3,876,124,299,701
M5-A6-B6-C10,922,78,71,929
M2-A3-B9-C9,768,232,511,489
M8-A1-B5-C8,850,150,665,335
M2-A11-B1-C7,887,113,763,237
M6-A11-B1-C3,938,62,432,568
M6-A2-B2-C5,683,317,2,998
M10-A6-B10-C12,564,436,532,468
M10-A8-B9-C10,551,449,369,631
M1-A3-B8-C8,458,542,143,857
M2-A6-B9-C9,868,132,190,810
M7-A7-B10-C5,573,427,29,971
M3-A4-B8-C3,611,389,491,509
M7-A3-B8-C2,440,560,149,851
M13-A6-B4-C6,860,140,590,410
M5-A3-B4-C8,653,347,363,637
M12-A9-B11-C9,831,169,26,974
M2-A4-B10-C3,938,62,882,118
M8-A2-B10-C5,991,9,930,70
M8-A11-B7-C9,933,67,613,387
M5-A5-B1-C10,403,597,246,754
M7-A2-B1-C1,808,192,310,690
M3-A7-B2-C8,734,266,650,350
M6-A1-B9-C1,982,18,980,20
M5-A1-B4-C4,790,210,39,961
M1-A7-B10-C9,849,151,367,633
M10-A1-B7-C5,967,33,663,337
M10-A7-B5-C2,981,19,397,603
M10-A2-B4-C2,898,102,857,143
M7-A6-B9-C8,993,7,860,140
M9-A7-B11-C6,628,372,506,494
M11-A4-B3-C10,966,34,373,627
M11-A10-B10-C4,616,384,196,804
M9-A8-B4-C12,970,30,944,56
M2-A4-B2-C2,894,106,255,745
M1-A3-B5-C5,825,175,234,766
M8-A6-B5-C9,779,221,189,811
M7-A7-B3-C12,940,60,292,708
M1-A8-B5-C2,712,288,644,356
M9-A10-B1-C8,867,133,165,835
M2-A8-B1-C11,819,181,264,736
M9-A9-B2-C3,494,506,488,512
M6-A1-B5-C2,661,339,639,361
M7-A2-B3-C6,949,51,826,174
M11-A6-B1-C12,674,326,51,949
M10-A2-B9-C3,591,409,228,772
M7-A10-B4-C6,734,266,729,271
M5-A3-B6-C10,808,192,798,202
M13-A1-B10-C4,966,34,715,285
M10-A1-B4-C2,990,10,851,149
M1-A9-B1-C7,837,163,261,739
M12-A5-B11-C6,230,770,214,786
M2-A11-B7-C3,875,125,815,185
M4-A8-B10-C3,882,118,833,167
M4-A4-B2-C9,967,33,818,182
M12-A11-B3-C11,863,137,75,925
M1-A8-B2-C3,552,448,115,885
M7-A8-B11-C1,961,39,2,998
M4-A9-B1-C11,911,89,216,784
M13-A2-B5-C3,734,266,682,318
M12-A2-B5-C3,997,3,992,8
M4-A2-B9-C7,677,323,347,653
M11-A11-B9-C2,982,18,931,69
M8-A7-B2-C5,751,249,201,799
M4-A11-B11-C7,717,283,619,381
M10-A8-B5-C7,389,611,181,819
M9-A5-B10-C2,217,783,41,959
M6-A3-B9-C7,248,752,87,913
M10-A10-B6-C11,599,401,461,539
M12-A7-B11-C5,966,34,757,243
M10-A11-B1-C1,269,731,133,867
M9-A6-B10-C12,923,77,522,478
M5-A1-B5-C9,895,105,457,543
M5-A11-B7-C7,973,27,948,52
M3-A5-B11-C9,511,489,508,492
M4-A6-B2-C12,197,803,140,860
M11-A3-B9-C3,862,138,644,356
M12-A8-B9-C4,994,6,977,23
M4-A4-B11-C3,606,394,593,407
M13-A7-B7-C1,784,216,17,983
M4-A7-B9-C5,991,9,417,583
M6-A11-B7-C6,858,142,687,313
M10-A7-B1-C2,769,231,696,304
M11-A5-B6-C8,994,6,955,45
M3-A10-B11-C5,533,467,189,811
M7-A5-B7-C11,892,108,295,705
M1-A6-B8-C8,201,799,180,820
M3-A1-B10-C5,534,466,359,641
M7-A7-B3-C1,778,222,671,329
M8-A6-B3-C5,454,546,374,626
M9-A8-B2-C6,901,99,49,951
M6-A10-B10-C9,940,60,373,627
M5-A8-B1-C5,696,304,104,896
M13-A6-B8-C6,717,283,110,890
M4-A8-B7-C9,982,18,954,46
M12-A7-B6-C1,547,453,538,462
M13-A4-B10-C9,687,313,500,500
M5-A8-B3-C5,362,638,271,729
M9-A1-B2-C3,738,262,595,405
M4-A4-B5-C4,872,128,831,169
M11-A10-B10-C7,777,223,760,240
M13-A10-B7-C2,449,551,416,584
M5-A10-B5-C11,888,112,303,697
M3-A6-B10-C7,680,320,127,873
M3-A9-B7-C12,257,743,121,879
M1-A4-B11-C6,458,542,212,788
M1-A9-B2-C4,576,424,332,668
M7-A2-B4-C6,839,161,724,276
M10-A7-B11-C1,707,293,370,630
M11-A7-B1-C7,930,70,876,124
M10-A4-B8-C9,700,300,59,941
M2-A4-B1-C11,841,159,723,277
M6-A8-B3-C6,692,308,488,512
M5-A6-B10-C5,900,100,787,213
M13-A10-B10-C4,281,719,9,991
M8-A2-B2-C6,923,77,839,161
M7-A2-B2-C7,942,58,132,868
M4-A1-B6-C1,675,325,665,335
M1-A3-B2-C3,717,283,421,579
M6-A6-B10-C3,993,7,993,7
M13-A3-B8-C3,949,51,946,54
M9-A9-B8-C7,942,58,455,545
M7-A5-B3-C5,875,125,445,555
M5-A6-B5-C4,296,704,10,990
M11-A8-B6-C7,834,166,685,315
M13-A2-B11-C8,862,138,798,202
M11-A1-B9-C10,883,117,338,662
M9-A8-B10-C9,906,94,234,766
M1-A11-B4-C3,433,567,292,708
M1-A8-B6-C12,994,6,991,9
M8-A3-B9-C12,872,128,192,808
M8-A4-B3-C4,567,433,296,704
M1-A11-B10-C6,506,494,112,888
M4-A10-B1-C9,886,114,858,142
M6-A9-B5-C3,562,438,20,980
M3-A10-B2-C6,435,565,239,761
M9-A9-B8-C1,919,81,417,583
M2-A6-B4-C11,517,483,493,507
M1-A1-B2-C5,784,216,664,336
M12-A10-B8-C12,905,95,88,912
M6-A9-B11-C2,707,293,346,654
M11-A9-B3-C1,250,750,129,871
M12-A9-B4-C2,901,99,752,248
M4-A11-B3-C8,584,416,145,855
M4-A5-B11-C8,638,362,398,602
M3-A3-B1-C1,997,3,911,89
M9-A3-B8-C10,342,658,287,713
M6-A3-B1-C12,455,545,350,650
M2-A8-B3-C8,488,512,157,843
M8-A7-B2-C10,985,15,93,907
M1-A10-B3-C5,306,694,170,830
M12-A6-B10-C9,923,77,701,299
M12-A4-B4-C12,452,548,320,680
M4-A8-B3-C10,732,268,106,894
M1-A10-B1-C1,990,10,825,175
M11-A6-B6-C2,979,21,975,25
M2-A6-B8-C7,828,172,808,192
M10-A10-B10-C9,883,117,85,915
M6-A8-B8-C11,615,385,174,826
M4-A2-B10-C8,808,192,170,830
M11-A9-B8-C6,883,117,736,264
M8-A2-B11-C10,176,824,83,917
M5-A9-B2-C7,588,412,140,860
M4-A1-B6-C3,394,606,359,641
M11-A10-B11-C12,606,394,143,857
M4-A10-B11-C8,788,212,382,618
M2-A3-B7-C10,557,443,106,894
M8-A9-B9-C9,912,88,836,164
M4-A7-B1-C5,862,138,86,914
M9-A4-B8-C7,961,39,681,319
M13-A3-B2-C6,987,13,964,36
M13-A9-B9-C4,598,402,86,914
M5-A4-B10-C2,953,47,366,634
M1-A8-B1-C9,289,711,59,941
M1-A9-B9-C7,973,27,434,566
M8-A7-B5-C8,941,59,904,96
M2-A1-B7-C4,946,54,653,347
M1-A2-B3-C10,467,533,327,673
M2-A5-B4-C5,379,621,190,810
M3-A1-B9-C7,706,294,610,390
M6-A9-B11-C5,916,84,888,112
M7-A9-B11-C9,709,291,323,677
M9-A2-B5-C6,742,258,597,403
M7-A2-B1-C3,763,237,688,312
M6-A3-B10-C10,667,333,616,384
M10-A10-B11-C2,980,20,895,105
M4-A11-B4-C11,477,523,131,869
M1-A9-B7-C12,885,115,488,512
M2-A9-B10-C12,797,203,390,610
M1-A10-B2-C12,852,148,452,548
M11-A4-B1-C5,959,41,721,279
M1-A2-B10-C3,789,211,603,397
M1-A10-B7-C12,576,424,290,710
M5-A6-B2-C7,999,1,956,44
M3-A1-B11-C10,909,91,470,530
M11-A10-B1-C1,440,560,206,794
M3-A9-B4-C6,888,112,54,946
M8-A9-B9-C2,372,628,365,635
M4-A7-B4-C5,899,101,895,105
M4-A3-B1-C3,323,677,44,956
M13-A7-B2-C7,853,147,782,218
M13-A5-B1-C6,533,467,459,541
M1-A4-B9-C7,320,680,293,707
M5-A4-B8-C7,712,288,455,545
M10-A5-B3-C5,842,158,800,200
M7-A1-B9-C1,841,159,675,325
M4-A6-B3-C3,974,26,958,42
M4-A3-B10-C5,812,188,728,272
M7-A3-B2-C10,760,240,321,679
M2-A10-B3-C4,746,254,564,436
M10-A7-B8-C6,269,731,168,832
M1-A9-B4-C11,805,195,77,923
M8-A9-B7-C7,952,48,249,751
M8-A3-B9-C2,825,175,618,382
M11-A10-B5-C6,867,133,719,281
M8-A11-B8-C8,778,222,265,735
M5-A4-B11-C12,565,435,544,456
M11-A4-B5-C8,630,370,12,988
M5-A11-B11-C4,980,20,179,821
M7-A9-B11-C11,574,426,279,721
M12-A9-B7-C5,681,319,416,584
M12-A4-B7-C9,930,70,539,461
M2-A7-B9-C8,645,355,508,492
M10-A6-B9-C12,346,654,186,814
M1-A3-B5-C4,821,179,365,635
M5-A5-B9-C5,889,111,304,696
M11-A9-B6-C5,57,943,48,952
M8-A1-B4-C10,820,180,763,237
M3-A5-B1-C8,948,52,336,664
M13-A11-B9-C9,877,123,441,559
M7-A5-B2-C4,967,33,957,43
M2-A10-B4-C9,936,64,922,78
M13-A9-B10-C12,724,276,128,872
M1-A11-B9-C9,818,182,524,476
M3-A4-B6-C2,980,20,904,96
M1-A3-B4-C1,976,24,975,25
M1-A6-B2-C7,833,167,814,186
M2-A2-B8-C11,926,74,910,90
M4-A7-B4-C9,975,25,952,48
M13-A11-B9-C10,936,64,824,176
M3-A4-B9-C1,245,755,172,828
M8-A6-B4-C8,793,207,653,347
M9-A6-B6-C12,928,72,880,120
M8-A7-B11-C12,986,14,943,57
M3-A8-B7-C8,620,380,8,992
M2-A6-B6-C12,567,433,172,828
M3-A3-B8-C11,776,224,725,275
M5-A11-B1-C7,972,28,127,873
M6-A2-B11-C9,796,204,517,483
M2-A4-B7-C11,894,106,419,581
M10-A4-B2-C9,901,99,880,120
M2-A8-B10-C4,142,858,39,961
M6-A3-B1-C2,429,571,404,596
M6-A8-B8-C5,907,93,886,114
M3-A6-B4-C1,934,66,907,93
M5-A3-B11-C1,785,215,674,326
M10-A8-B8-C7,923,77,910,90
M11-A3-B11-C9,671,329,596,404
M5-A7-B7-C8,628,372,346,654
M5-A10-B6-C10,685,315,579,421
M10-A4-B9-C6,641,359,467,533
M8-A5-B1-C7,786,214,367,633
M5-A6-B11-C5,889,111,775,225
M6-A2-B4-C3,263,737,210,790
M11-A2-B11-C10,304,696,216,784
M1-A11-B4-C9,897,103,781,219
M10-A8-B3-C1,718,282,705,295
M6-A6-B2-C6,422,578,47,953
M10-A10-B2-C1,630,370,500,500
M4-A2-B2-C2,564,436,233,767
M5-A2-B5-C8,936,64,892,108
M12-A5-B2-C9,702,298,181,819
M6-A10-B4-C1,922,78,909,91
M8-A10-B7-C8,816,184,693,307
M10-A11-B11-C12,517,483,486,514
M7-A8-B4-C5,650,350,389,611
M13-A8-B9-C2,987,13,20,980
M1-A2-B7-C6,901,99,874,126
M10-A10-B4-C6,655,345,240,760
M13-A4-B7-C1,862,138,538,462
M1-A9-B2-C9,815,185,542,458
M2-A10-B9-C6,446,554,45,955
M12-A10-B6-C8,897,103,728,272
M2-A4-B4-C6,755,245,402,598
M6-A10-B6-C8,940,60,936,64
M12-A11-B2-C8,309,691,94,906
M9-A10-B5-C10,995,5,948,52
M3-A4-B6-C10,799,201,677,323
M11-A4-B11-C12,793,207,232,768
M4-A9-B6-C9,812,188,588,412
M5-A7-B10-C5,346,654,266,734
M2-A9-B6-C11,972,28,419,581
M9-A8-B1-C1,982,18,915,85
M3-A1-B4-C3,888,112,636,364
M2-A5-B3-C10,975,25,851,149
M8-A6-B5-C8,769,231,493,507
M2-A6-B7-C8,807,193,327,673
M9-A9-B5-C7,758,242,639,361
M4-A11-B10-C11,900,100,435,565
M12-A7-B1-C1,561,439,72,928
M6-A7-B7-C12,958,42,553,447
M3-A4-B7-C6,368,632,209,791
M5-A3-B10-C10,871,129,797,203
M1-A8-B9-C5,801,199,628,372
M3-A5-B10-C2,428,572,128,872
M13-A6-B10-C1,957,43,780,220
M1-A10-B11-C8,687,313,596,404
M1-A3-B2-C7,857,143,269,731
M5-A5-B7-C7,559,441,539,461
M5-A6-B9-C3,998,2,951,49
M6-A11-B3-C6,939,61,924,76
M6-A1-B6-C10,959,41,944,56
M2-A4-B9-C10,313,687,151,849
M5-A9-B5-C7,922,78,747,253
M8-A11-B5-C2,726,274,468,532
M6-A3-B1-C9,534,466,328,672
M5-A4-B11-C6,529,471,138,862
M4-A9-B11-C8,726,274,495,505
M11-A5-B6-C9,992,8,783,217
M1-A2-B11-C4,817,183,746,254
M5-A8-B8-C1,362,638,17,983
M7-A3-B9-C10,303,697,94,906
M11-A6-B11-C12,607,393,504,496
M5-A6-B1-C5,820,180,663,337
M11-A2-B4-C2,978,22,394,606
M5-A4-B2-C9,645,355,611,389
M6-A8-B8-C9,886,114,567,433
M7-A11-B2-C6,933,67,434,566
M3-A6-B10-C11,812,188,685,315
M11-A1-B1-C6,663,337,617,383
M2-A1-B3-C4,768,232,637,363
M10-A1-B2-C6,270,730,101,899
M13-A6-B7-C4,525,475,386,614
M5-A9-B7-C2,607,393,37,963
M10-A3-B3-C3,947,53,80,920
M5-A2-B9-C10,654,346,58,942
M9-A3-B11-C9,559,441,558,442
M7-A9-B8-C5,996,4,940,60
M12-A3-B8-C12,875,125,95,905
M11-A10-B6-C9,666,334,543,457
M10-A11-B3-C2,682,318,96,904
M1-A2-B4-C8,682,318,204,796
M6-A5-B4-C5,840,160,327,673
M13-A11-B4-C4,656,344,611,389
M9-A11-B2-C4,999,1,972,28
M11-A6-B8-C7,823,177,558,442
M1-A3-B5-C1,684,316,637,363
M4-A1-B7-C9,837,163,714,286
M4-A1-B7-C5,663,337,600,400
M6-A4-B9-C10,759,241,84,916
M4-A6-B9-C6,736,264,639,361
M9-A7-B6-C9,638,362,526,474
M8-A8-B11-C2,953,47,700,300
M13-A3-B2-C7,791,209,556,444
M9-A4-B2-C2,965,35,89,911
M4-A6-B6-C11,916,84,731,269
M1-A7-B3-C9,693,307,27,973
M7-A7-B11-C8,812,188,338,662
M2-A6-B9-C3,751,249,354,646
M7-A9-B2-C3,931,69,532,468
M3-A7-B2-C12,994,6,482,518
M4-A1-B7-C12,997,3,805,195
M11-A8-B4-C1,987,13,976,24
M6-A4-B7-C2,671,329,226,774
M13-A8-B11-C12,675,325,590,410
M8-A4-B6-C7,737,263,95,905
M8-A6-B1-C11,960,40,497,503
M3-A4-B9-C2,795,205,445,555
M7-A5-B1-C7,961,39,814,186
M9-A4-B7-C4,966,34,961,39
M3-A7-B3-C8,852,148,557,443
M13-A8-B4-C2,735,265,661,339
M12-A8-B8-C9,811,189,803,197
M12-A10-B6-C4,994,6,992,8
M4-A1-B3-C11,995,5,985,15
M1-A3-B4-C4,343,657,262,738
M12-A4-B7-C5,862,138,359,641
M5-A8-B10-C10,808,192,484,516
M4-A3-B3-C6,808,192,790,210
M5-A11-B6-C6,610,390,30,970
M1-A4-B11-C3,618,382,575,425
M7-A7-B10-C1,526,474,283,717
M5-A6-B1-C12,980,20,972,28
M6-A9-B10-C8,484,516,439,561
M10-A3-B11-C10,502,498,460,540
M2-A9-B8-C6,876,124,854,146
M8-A5-B10-C5,771,229,302,698
M2-A6-B2-C7,898,102,866,134
M2-A3-B7-C1,920,80,405,595
M11-A3-B6-C8,690,310,286,714
M3-A1-B11-C12,719,281,385,615
M9-A4-B6-C10,966,34,938,62
M9-A9-B11-C11,854,146,651,349
M3-A5-B3-C1,845,155,446,554
M4-A5-B7-C11,950,50,858,142
M5-A10-B2-C12,992,8,991,9
M1-A8-B2-C4,670,330,519,481
M4-A8-B2-C1,942,58,207,793
M5-A9-B1-C3,980,20,574,426
M3-A5-B11-C7,332,668,318,682
M5-A3-B1-C7,718,282,511,489
M1-A3-B2-C2,898,102,402,598
M7-A8-B1-C5,706,294,587,413
M11-A3-B10-C4,521,479,148,852
M1-A4-B8-C9,676,324,410,590
M2-A9-B8-C11,970,30,914,86
M4-A5-B5-C8,471,529,380,620
M9-A2-B8-C4,845,155,658,342
M2-A9-B7-C2,967,33,804,196
M4-A6-B7-C4,492,508,391,609
M12-A1-B7-C8,932,68,659,341
M9-A11-B6-C1,990,10,901,99
M5-A7-B3-C7,894,106,708,292
M2-A9-B11-C6,981,19,77,923
M4-A4-B7-C5,872,128,196,804
M2-A9-B2-C7,973,27,800,200
M9-A2-B4-C2,795,205,176,824
M3-A10-B4-C3,501,499,396,604
M13-A11-B3-C9,725,275,286,714
M11-A7-B9-C4,671,329,142,858
M2-A9-B4-C10,980,20,974,26
M8-A4-B10-C12,798,202,386,614
M12-A1-B8-C11,866,134,454,546
M6-A2-B11-C2,947,53,739,261
M4-A5-B9-C8,756,244,282,718
M3-A8-B5-C1,897,103,13,987
M3-A1-B2-C3,749,251,464,536
M6-A7-B7-C6,382,618,104,896
M9-A10-B3-C7,583,417,53,947
M4-A2-B3-C10,835,165,496,504
M7-A4-B4-C4,549,451,341,659
M8-A10-B9-C8,611,389,536,464
M9-A1-B4-C9,726,274,389,611
M13-A4-B7-C4,759,241,341,659
M5-A10-B1-C10,717,283,624,376
M8-A2-B8-C12,948,52,881,119
M3-A4-B6-C12,852,148,715,285
M10-A5-B2-C1,750,250,481,519
M4-A10-B8-C11,633,367,182,818
M9-A9-B1-C2,780,220,724,276
M3-A8-B4-C1,849,151,817,183
M9-A1-B1-C6,899,101,393,607
M13-A10-B10-C2,456,544,414,586
M11-A4-B9-C3,546,454,415,585
M4-A8-B5-C9,859,141,408,592
M4-A5-B1-C9,936,64,230,770
M4-A9-B5-C6,948,52,861,139
M2-A1-B11-C3,954,46,789,211
M3-A1-B1-C9,542,458,286,714
M1-A9-B6-C2,859,141,766,234
M3-A11-B4-C6,809,191,204,796
M5-A2-B6-C6,739,261,227,773
M7-A1-B1-C12,828,172,622,378
M6-A9-B7-C10,652,348,458,542
M2-A8-B5-C1,146,854,21,979
M13-A1-B11-C4,972,28,905,95
M12-A6-B3-C4,954,46,681,319
M1-A2-B3-C9,982,18,964,36
M6-A8-B7-C12,999,1,998,2
M11-A8-B10-C11,223,777,11,989
M4-A3-B4-C4,842,158,827,173
M13-A4-B11-C5,969,31,840,160
M1-A3-B1-C8,828,172,345,655
M13-A11-B3-C11,249,751,192,808
M2-A8-B6-C11,290,710,34,966
M5-A9-B6-C5,612,388,167,833
M6-A3-B8-C8,781,219,353,647
M7-A3-B6-C3,744,256,475,525
M12-A10-B10-C4,394,606,123,877
M4-A5-B8-C2,880,120,841,159
M5-A10-B11-C2,721,279,522,478
M2-A8-B11-C2,991,9,976,24
M10-A5-B8-C3,747,253,628,372
M7-A3-B8-C7,303,697,197,803
M2-A9-B2-C6,821,179,784,216
M8-A4-B2-C8,474,526,166,834
M5-A10-B7-C3,877,123,872,128
M3-A10-B1-C9,967,33,804,196
